dhvs_rank,district,state,dhvs,vulnerability_band,stunting,anaemia_women,child_underweight,institutional_births,immunisation,antenatal_visits,score_delta,quadrant,delta_rank
1,Pashchimi Singhbhum,Jharkhand,74.4,High,60.6,72.5,62.4,67.9,87.0,34.9,20.38000000000001,Bad & Declining,700
2,Pakur,Jharkhand,71.88,High,51.3,80.4,51.4,64.6,69.4,26.6,17.86,Bad & Declining,697
3,Araria,Bihar,67.66,High,49.9,67.7,47.8,66.2,61.6,25.8,9.864999999999995,Bad & Declining,626
4,Bastar,Chhattisgarh,66.25,High,48.1,77.1,45.2,63.5,57.3,55.1,26.060000000000002,Bad & Declining,706
5,Sitamarhi,Bihar,66.02,High,54.2,61.8,40.8,64.4,66.6,20.3,8.224999999999994,Bad & Declining,604
6,Sahibganj,Jharkhand,65.74,High,49.1,72.1,44.8,64.7,66.0,36.2,11.719999999999999,Bad & Declining,654
7,Bijapur,Chhattisgarh,64.89,High,53.8,72.9,46.1,63.6,78.4,56.9,24.700000000000003,Bad & Declining,704
8,Purnia,Bihar,64.24,High,43.5,65.1,47.1,68.9,62.7,11.1,6.444999999999993,Bad & Declining,563
9,Katihar,Bihar,63.93,High,43.9,68.9,48.1,66.9,73.7,15.3,6.134999999999998,Bad & Declining,552
10,Dohad,Gujarat,63.8,High,55.3,75.4,53.0,92.5,66.2,70.9,19.169999999999995,Bad & Declining,698
11,Saharsa,Bihar,63.18,High,47.8,65.7,42.7,70.4,72.2,11.7,5.384999999999998,Bad & Declining,540
12,West Khasi Hills,Meghalaya,62.94,High,59.0,52.1,31.1,41.7,62.5,64.0,12.43,Bad & Declining,662
13,Zunheboto,Nagaland,61.61,High,44.0,30.6,44.5,35.0,60.7,11.2,15.990000000000002,Bad & Declining,693
14,Deoghar,Jharkhand,61.56,High,41.7,70.1,36.9,61.3,54.5,30.7,7.540000000000006,Bad & Declining,590
15,Purba Champaran,Bihar,61.21,High,49.1,57.1,37.9,61.5,68.3,21.7,3.414999999999999,Bad & Declining,486
16,Lakhisarai,Bihar,60.95,High,42.7,72.9,45.1,75.8,68.9,28.0,3.155000000000001,Bad & Declining,484
17,Bahraich,Uttar Pradesh,60.89,High,52.1,48.8,38.0,67.7,51.8,34.3,15.619999999999997,Bad & Declining,689
18,Nandurbar,Maharastra,60.88,High,45.8,64.1,57.2,76.3,72.4,58.2,23.085,Bad & Declining,702
18,Kishanganj,Bihar,60.88,High,38.8,64.9,41.1,54.6,67.3,17.1,3.085000000000001,Bad & Declining,481
20,Madhepura,Bihar,60.78,High,46.3,65.4,43.5,75.0,72.0,20.9,2.9849999999999994,Bad & Declining,478
21,Fatehpur,Uttar Pradesh,60.48,High,51.1,63.7,38.0,81.4,55.7,38.1,15.209999999999994,Bad & Declining,688
22,Budaun,Uttar Pradesh,60.0,High,51.8,56.2,43.0,72.3,69.5,40.6,14.729999999999997,Bad & Declining,684
23,Jamtara,Jharkhand,59.95,High,41.9,78.4,46.2,75.4,78.8,36.0,5.930000000000007,Bad & Declining,545
24,Arwal,Bihar,59.9,High,45.6,66.6,52.9,79.2,84.2,34.5,2.104999999999997,Bad & Declining,455
25,West Jaintia Hills,Meghalaya,59.88,High,48.7,55.3,28.3,42.2,59.7,43.1,9.370000000000005,Bad & Declining,623
26,Jehanabad,Bihar,59.67,High,41.3,67.8,51.7,89.1,70.3,17.4,1.875,Bad & Declining,447
27,Dhubri,Assam,59.62,High,48.5,63.0,37.8,64.2,71.6,37.6,12.14,Bad & Declining,655
28,Darbhanga,Bihar,59.18,High,45.4,61.3,39.2,69.9,66.3,24.9,1.384999999999998,Bad & Declining,433
29,Nalanda,Bihar,59.11,High,42.6,71.5,46.7,80.3,75.2,29.3,1.3149999999999977,Bad & Declining,430
30,Jamui,Bihar,59.01,High,43.0,76.2,37.5,73.4,66.4,37.9,1.2149999999999963,Bad & Declining,423
31,Dumka,Jharkhand,58.98,High,38.2,74.2,44.9,60.3,78.9,39.3,4.960000000000001,Bad & Declining,527
32,Banda,Uttar Pradesh,58.95,High,51.0,52.3,49.8,89.8,62.9,39.0,13.68,Bad & Declining,675
33,Nawada,Bihar,58.88,High,49.4,70.1,37.3,79.9,74.5,31.6,1.0850000000000009,Bad & Declining,412
34,Sheikhpura,Bihar,58.32,High,53.6,69.7,37.6,89.2,82.8,28.4,0.5249999999999986,Bad & Declining,390
35,Gaya,Bihar,58.22,High,47.4,64.3,43.5,76.6,85.0,25.1,0.42499999999999716,Bad & Declining,384
36,Bhojpur,Bihar,58.19,High,40.7,73.9,44.0,86.9,61.9,33.5,0.394999999999996,Bad & Declining,381
37,Bhagalpur,Bihar,58.14,High,40.0,73.7,40.4,77.2,66.8,27.6,0.34499999999999886,Bad & Declining,375
38,Tuensang,Nagaland,58.04,High,37.1,29.3,34.2,34.8,39.9,4.4,12.420000000000002,Bad & Declining,660
39,Narmada,Gujarat,57.62,High,47.2,75.9,52.8,81.7,82.8,83.4,12.989999999999995,Bad & Declining,668
40,Kaimur (Bhabua),Bihar,57.45,High,44.1,70.6,47.2,83.3,88.9,25.6,-0.34499999999999886,Bad but Improving,332
41,Banka,Bihar,57.23,High,46.7,65.7,45.8,79.8,88.1,31.7,-0.5650000000000048,Bad but Improving,310
42,Chhota Udaipur,Gujarat,57.12,High,48.6,79.1,48.1,85.7,81.7,81.2,12.489999999999995,Bad & Declining,663
43,Mewat,Haryana,56.81,High,44.4,61.1,37.3,74.6,53.8,45.9,25.535000000000004,Bad & Declining,705
44,Bongaigaon,Assam,56.75,High,46.2,71.4,35.3,84.5,67.9,33.9,9.270000000000003,Bad & Declining,620
45,Khunti,Jharkhand,56.73,High,38.5,70.9,44.0,73.8,71.9,37.4,2.710000000000001,Bad & Declining,471
46,South West Khasi Hills,Meghalaya,56.71,High,51.4,58.5,27.6,41.7,78.8,63.4,6.200000000000003,Bad & Declining,558
47,Godda,Jharkhand,56.64,High,39.4,66.3,40.7,70.2,63.9,39.2,2.6200000000000045,Bad & Declining,469
48,Saran,Bihar,56.57,High,39.7,63.0,45.0,73.0,72.0,30.7,-1.2250000000000014,Bad but Improving,277
49,Garhwa,Jharkhand,56.33,High,47.7,62.9,40.6,84.0,77.2,29.8,2.3100000000000023,Bad & Declining,459
50,Samastipur,Bihar,56.14,High,44.0,59.9,42.8,83.4,71.4,23.5,-1.6550000000000011,Bad but Improving,258
51,Kanshiram Nagar,Uttar Pradesh,56.09,High,45.1,66.1,35.5,74.8,69.2,38.1,10.82,Bad & Declining,646
52,Etah,Uttar Pradesh,56.04,High,48.8,56.0,30.6,76.7,55.5,33.6,10.769999999999996,Bad & Declining,641
53,Aravali,Gujarat,55.8,High,47.1,77.1,47.2,92.2,77.0,73.8,11.169999999999995,Bad & Declining,649
54,Supaul,Bihar,55.75,High,42.3,61.0,45.0,80.4,73.6,30.9,-2.0450000000000017,Bad but Improving,245
55,Shrawasti,Uttar Pradesh,55.66,High,50.9,44.6,40.8,80.4,59.6,42.4,10.389999999999993,Bad & Declining,632
56,Yadgir,Karnataka,55.51,High,57.6,57.1,45.2,93.3,82.6,63.6,24.159999999999997,Bad & Declining,703
57,Sheopur,Madhya Pradesh,55.5,High,45.8,65.3,37.7,84.2,65.8,41.0,14.07,Bad & Declining,678
58,Shahjahanpur,Uttar Pradesh,55.4,High,44.5,60.6,34.7,63.3,76.5,35.3,10.129999999999995,Bad & Declining,630
59,Panna,Madhya Pradesh,55.35,High,45.1,58.8,39.2,84.0,64.5,30.9,13.920000000000002,Bad & Declining,677
60,Chitrakoot,Uttar Pradesh,55.24,High,47.5,46.7,41.8,81.1,63.7,30.3,9.969999999999999,Bad & Declining,628
61,Dantewada,Chhattisgarh,55.22,High,45.6,76.7,45.8,90.5,77.6,68.2,15.030000000000001,Bad & Declining,687
62,Darrang,Assam,55.12,High,42.0,71.4,33.1,84.4,57.1,37.5,7.640000000000001,Bad & Declining,592
63,Kannauj,Uttar Pradesh,55.02,High,43.0,65.2,33.5,76.4,55.8,46.4,9.75,Bad & Declining,625
64,Simdega,Jharkhand,54.93,High,42.2,71.0,37.0,75.7,79.3,34.4,0.9100000000000037,Bad & Declining,406
65,Kurnool,Andhra Pradesh,54.78,High,50.5,58.3,46.3,88.5,67.0,74.3,20.300000000000004,Bad & Declining,699
66,Udalguri,Assam,54.71,High,33.8,82.2,32.5,86.2,38.3,49.8,7.230000000000004,Bad & Declining,585
67,Sheohar,Bihar,54.67,High,34.4,63.4,42.2,74.3,62.9,25.3,-3.125,Bad but Improving,205
68,Kiphire,Nagaland,54.64,High,36.9,31.9,25.0,34.8,42.8,5.8,9.020000000000003,Bad & Declining,615
69,Aurangabad,Bihar,54.6,High,41.2,60.9,48.7,77.5,89.7,29.3,-3.1950000000000003,Bad but Improving,202
70,Farrukhabad,Uttar Pradesh,54.55,High,47.8,57.5,31.1,69.3,68.5,41.5,9.279999999999994,Bad & Declining,621
71,Sitapur,Uttar Pradesh,54.54,High,47.8,55.2,37.9,84.8,65.9,35.4,9.269999999999996,Bad & Declining,619
72,Saraikela-Kharsawan,Jharkhand,54.51,High,40.0,71.2,48.7,81.8,80.9,54.4,0.490000000000002,Bad & Declining,388
73,Bareilly,Uttar Pradesh,54.39,High,45.9,61.3,35.2,75.1,70.5,43.1,9.119999999999997,Bad & Declining,617
74,Chatra,Jharkhand,54.37,High,42.2,55.9,39.8,71.5,71.7,32.4,0.3500000000000014,Bad & Declining,376
74,Balrampur,Uttar Pradesh,54.37,High,41.2,54.8,37.2,69.7,57.4,41.0,9.099999999999994,Bad & Declining,616
76,Buxar,Bihar,54.36,High,39.6,67.0,45.3,89.5,75.0,27.4,-3.4350000000000023,Bad but Improving,194
76,Narayanpur,Chhattisgarh,54.36,High,43.7,72.8,39.5,74.2,81.7,59.1,14.170000000000002,Bad & Declining,680
78,Biswanath,Assam,54.35,High,42.7,65.1,41.0,84.3,66.2,46.5,6.8700000000000045,Bad & Declining,579
79,Kodagaon,Chhattisgarh,54.31,High,37.6,79.5,42.2,78.7,70.1,64.1,14.120000000000005,Bad & Declining,679
80,Hailakandi,Assam,54.27,High,42.9,61.5,42.4,83.0,68.6,43.1,6.790000000000006,Bad & Declining,575
81,Hardoi,Uttar Pradesh,54.16,High,44.5,59.5,33.0,73.9,63.3,39.7,8.889999999999993,Bad & Declining,613
82,Madhubani,Bihar,53.76,High,43.3,60.9,36.0,73.7,74.1,34.9,-4.035000000000004,Bad but Improving,173
83,Patna,Bihar,53.74,High,34.5,67.3,39.6,89.1,56.6,17.9,-4.055,Bad but Improving,172
84,Latehar,Jharkhand,53.67,High,40.1,63.8,39.4,70.3,75.0,43.1,-0.3499999999999943,Bad but Improving,331
85,Ballia,Uttar Pradesh,53.66,High,43.8,53.0,42.5,90.0,62.2,30.5,8.389999999999993,Bad & Declining,608
86,Adilabad,Telangana,53.53,High,45.7,61.1,52.0,94.1,69.3,74.8,16.97,Bad & Declining,694
87,Dhule,Maharastra,53.52,High,37.6,60.8,46.0,77.2,56.6,63.2,15.725000000000001,Bad & Declining,690
88,West Karbi Anglong,Assam,53.41,High,40.9,58.8,31.1,72.5,47.9,46.7,5.93,Bad & Declining,544
89,Palamu,Jharkhand,53.28,High,43.7,61.1,37.3,74.9,80.9,33.8,-0.7399999999999949,Bad but Improving,299
90,Muzaffarpur,Bihar,53.17,High,42.6,58.7,34.7,72.5,74.9,28.2,-4.625,Bad but Improving,157
91,Banas Kantha,Gujarat,53.15,High,39.0,59.6,44.1,92.9,43.5,56.1,8.519999999999996,Bad & Declining,609
92,Rohtas,Bihar,52.71,High,40.0,65.6,48.2,89.1,86.8,34.2,-5.085000000000001,Bad but Improving,145
93,Chhatarpur,Madhya Pradesh,52.62,High,45.1,63.4,34.6,85.2,72.9,36.9,11.189999999999998,Bad & Declining,650
94,Sukma,Chhattisgarh,52.61,High,41.8,79.0,37.4,81.2,73.3,74.0,12.420000000000002,Bad & Declining,660
95,Vaishali,Bihar,52.6,High,38.3,62.9,38.4,81.6,71.0,24.5,-5.195,Bad but Improving,142
96,Mahisagar,Gujarat,52.58,High,43.4,73.2,49.0,93.0,80.0,76.6,7.949999999999996,Bad & Declining,600
97,Bara Banki,Uttar Pradesh,52.48,High,41.9,55.0,31.9,76.0,64.4,22.6,7.209999999999994,Bad & Declining,584
98,Parbhani,Maharastra,52.46,High,37.6,59.4,41.8,85.6,52.0,47.4,14.665,Bad & Declining,682
99,The Dangs,Gujarat,52.37,High,37.6,77.6,53.1,74.5,91.3,90.2,7.739999999999995,Bad & Declining,596
100,Chirang,Assam,52.29,High,42.7,65.7,39.7,83.7,71.1,56.5,4.810000000000002,Bad & Declining,520
101,Khagaria,Bihar,52.25,High,34.8,59.1,36.4,74.2,64.7,17.4,-5.545000000000002,Bad but Improving,134
102,Katni,Madhya Pradesh,52.21,High,49.5,59.2,44.0,91.8,86.0,52.9,10.780000000000001,Bad & Declining,644
103,Koppal,Karnataka,52.17,High,49.1,54.8,45.8,90.7,84.8,50.7,20.82,Bad & Declining,701
104,Sambhal,Uttar Pradesh,52.09,High,51.6,51.1,29.8,74.2,83.0,32.9,6.82,Bad & Declining,577
105,Unakoti,Tripura,51.96,High,31.8,67.4,32.0,71.5,58.3,24.6,10.645000000000003,Bad & Declining,640
106,Mon,Nagaland,51.87,High,35.5,30.4,23.3,21.4,62.4,9.7,6.25,Bad & Declining,560
107,Panch Mahals,Gujarat,51.74,High,47.1,69.5,51.9,88.4,95.4,88.7,7.109999999999999,Bad & Declining,582
108,Kheri,Uttar Pradesh,51.71,High,47.6,52.8,36.3,82.8,69.5,48.0,6.439999999999998,Bad & Declining,562
108,Begusarai,Bihar,51.71,High,37.8,63.2,35.6,86.0,65.8,21.6,-6.085000000000001,Bad but Improving,123
110,Ribhoi,Meghalaya,51.67,High,42.5,62.2,29.6,56.9,74.8,61.0,1.1600000000000037,Bad & Declining,419
111,Bharuch,Gujarat,51.1,High,40.9,71.6,45.5,91.1,80.0,65.7,6.469999999999999,Bad & Declining,564
112,Puruliya,West Bengal,50.95,High,36.9,76.9,46.3,89.8,84.7,57.8,13.470000000000006,Bad & Declining,673
113,Pashchim Champaran,Bihar,50.84,High,43.5,49.8,30.3,79.5,62.1,25.4,-6.954999999999998,Bad but Improving,97
114,Lohardaga,Jharkhand,50.81,High,40.7,62.1,43.4,84.1,88.2,37.7,-3.2099999999999937,Bad but Improving,201
115,Longleng,Nagaland,50.76,High,34.1,34.9,25.7,38.7,53.0,15.4,5.140000000000001,Bad & Declining,533
116,Barwani,Madhya Pradesh,50.68,High,45.8,58.5,41.0,85.1,76.1,64.2,9.25,Bad & Declining,618
117,East Jantia Hills,Meghalaya,50.61,High,49.8,43.7,23.6,48.4,74.4,58.6,0.10000000000000142,Bad & Declining,366
118,Mainpuri,Uttar Pradesh,50.53,High,44.3,58.2,33.6,82.7,75.0,38.1,5.259999999999998,Bad & Declining,536
118,Firozabad,Uttar Pradesh,50.53,High,46.9,57.7,25.6,80.1,67.1,39.3,5.259999999999998,Bad & Declining,536
120,East Khasi Hills,Meghalaya,50.51,High,44.6,48.5,23.8,63.4,49.1,57.5,0.0,Bad & Declining,344
121,Kokrajhar,Assam,50.48,High,34.6,59.5,35.2,81.9,51.1,36.9,3.0,Bad & Declining,479
122,Baksa,Assam,50.45,High,41.2,73.8,34.0,89.9,70.5,56.0,2.970000000000006,Bad & Declining,477
123,Kanpur Dehat,Uttar Pradesh,50.22,High,44.1,54.6,32.8,84.3,56.3,54.4,4.949999999999996,Bad & Declining,525
124,Sonbhadra,Uttar Pradesh,50.18,High,38.3,44.2,46.5,76.8,72.7,36.4,4.909999999999997,Bad & Declining,524
125,Paschim Barddhaman,West Bengal,50.15,High,39.7,66.5,41.0,89.8,62.4,70.4,12.670000000000002,Bad & Declining,666
126,Satna,Madhya Pradesh,50.01,High,49.4,57.5,31.2,85.5,76.3,51.5,8.579999999999998,Bad & Declining,611
127,Jogulamba Gadwal,Telangana,50.0,Moderate,49.7,64.1,41.7,94.2,86.9,72.9,13.439999999999998,Bad & Declining,671
128,Mayurbhanj,Odisha,49.92,Moderate,36.7,73.0,45.9,91.7,84.4,52.9,13.525000000000006,Bad & Declining,674
129,Uttar Dinajpur,West Bengal,49.87,Moderate,44.8,71.9,32.0,76.9,84.4,70.1,12.39,Bad & Declining,658
129,Dhalai,Tripura,49.87,Moderate,45.7,69.7,27.6,87.3,73.7,52.0,8.555,Bad & Declining,610
131,Rayagada,Odisha,49.85,Moderate,43.6,68.8,39.8,68.9,92.7,85.3,13.455000000000005,Bad & Declining,672
132,Munger,Bihar,49.74,Moderate,35.5,71.3,39.5,93.2,73.4,36.8,-8.055,Bad but Improving,75
133,Jhansi,Uttar Pradesh,49.73,Moderate,40.9,41.5,39.3,92.9,44.5,36.6,4.459999999999994,Bad & Declining,511
134,Kheda,Gujarat,49.67,Moderate,37.3,76.2,39.5,95.2,69.0,61.2,5.039999999999999,Bad & Declining,529
135,North Garo Hills,Meghalaya,49.64,Moderate,35.6,58.9,15.8,61.5,47.5,24.3,-0.8699999999999974,Bad but Improving,295
136,Khowai,Tripura,49.6,Moderate,47.0,63.7,24.7,95.7,60.7,41.5,8.285000000000004,Bad & Declining,606
137,Surendranagar,Gujarat,49.52,Moderate,39.2,55.4,41.8,85.6,62.5,57.5,4.890000000000001,Bad & Declining,522
138,South Salmara Mancachar,Assam,49.51,Moderate,38.9,58.2,27.9,71.7,65.8,35.3,2.030000000000001,Bad & Declining,453
139,Tapi,Gujarat,49.46,Moderate,41.7,77.6,51.8,92.9,97.5,91.0,4.829999999999998,Bad & Declining,521
140,Kaushambi,Uttar Pradesh,49.43,Moderate,40.2,54.6,36.8,88.6,65.7,34.0,4.159999999999997,Bad & Declining,504
141,Jhabua,Madhya Pradesh,49.33,Moderate,49.3,58.7,41.7,92.9,88.9,63.6,7.899999999999999,Bad & Declining,598
141,Gonda,Uttar Pradesh,49.33,Moderate,45.9,49.3,28.0,81.8,59.9,41.7,4.059999999999995,Bad & Declining,501
143,Morigaon,Assam,49.3,Moderate,43.2,64.9,30.5,88.3,73.4,42.0,1.8200000000000003,Bad & Declining,446
144,Unnao,Uttar Pradesh,49.07,Moderate,39.2,49.6,29.3,80.8,58.6,19.8,3.799999999999997,Bad & Declining,498
145,Baloda Bazar,Chhattisgarh,49.05,Moderate,40.9,61.5,34.1,78.1,77.3,49.5,8.86,Bad & Declining,612
146,Nashik,Maharastra,49.03,Moderate,42.2,55.4,44.8,90.5,70.4,66.4,11.235,Bad & Declining,651
147,Komaram Bheem Asifabad,Telangana,48.97,Moderate,38.1,67.3,41.1,82.0,76.2,68.8,12.409999999999997,Bad & Declining,659
148,Patan,Gujarat,48.93,Moderate,50.5,59.8,42.3,98.6,81.0,79.8,4.299999999999997,Bad & Declining,510
149,Bijapur,Karnataka,48.77,Moderate,45.9,52.2,39.0,91.8,71.1,56.4,17.42,Bad & Declining,695
150,Karimganj,Assam,48.75,Moderate,29.1,52.5,52.9,76.4,75.1,42.8,1.2700000000000031,Bad & Declining,424
151,Ghazipur,Uttar Pradesh,48.74,Moderate,39.3,46.2,38.3,88.3,60.8,29.2,3.469999999999999,Bad & Declining,487
152,Dhaulpur,Rajasthan,48.67,Moderate,45.7,68.8,31.3,94.4,85.9,42.4,13.18,Bad & Declining,669
153,Jalgaon,Maharastra,48.65,Moderate,36.3,65.3,36.9,86.5,61.3,58.4,10.854999999999997,Bad & Declining,647
154,Nabarangapur,Odisha,48.64,Moderate,44.1,69.7,46.6,87.6,94.8,87.7,12.245000000000005,Bad & Declining,657
155,Anand,Gujarat,48.63,Moderate,38.4,66.6,46.6,96.0,77.0,64.2,4.0,Bad & Declining,500
156,Giridih,Jharkhand,48.6,Moderate,31.9,65.2,34.3,70.7,70.6,42.1,-5.419999999999995,Bad but Improving,137
157,Jalna,Maharastra,48.57,Moderate,38.0,58.7,39.0,92.8,54.3,58.4,10.774999999999999,Bad & Declining,643
158,Rewa,Madhya Pradesh,48.55,Moderate,37.0,61.7,31.5,80.4,70.3,33.0,7.119999999999997,Bad & Declining,583
159,Goalpara,Assam,48.48,Moderate,38.9,65.5,35.4,92.3,70.3,44.1,1.0,Bad & Declining,410
160,Bokaro,Jharkhand,48.39,Moderate,36.2,69.0,32.3,80.9,71.0,48.7,-5.6299999999999955,Bad but Improving,133
161,Vadodara,Gujarat,48.33,Moderate,42.3,72.6,39.9,95.9,84.9,65.9,3.6999999999999957,Bad & Declining,495
161,Buldana,Maharastra,48.33,Moderate,45.0,58.5,47.2,93.9,85.9,72.7,10.534999999999997,Bad & Declining,635
163,Balaghat,Madhya Pradesh,48.29,Moderate,41.9,61.0,44.9,95.1,75.8,69.1,6.859999999999999,Bad & Declining,578
164,Nagaon,Assam,48.23,Moderate,38.9,61.0,32.4,83.7,58.2,59.4,0.75,Bad & Declining,400
165,Charaideo,Assam,48.13,Moderate,39.0,72.6,34.8,88.2,74.0,64.5,0.6500000000000057,Bad & Declining,393
166,Paschim Medinipur,West Bengal,48.02,Moderate,31.1,82.0,40.0,87.6,76.9,63.1,10.540000000000006,Bad & Declining,636
167,Bharatpur,Rajasthan,47.99,Moderate,40.3,61.0,29.1,92.1,64.1,33.2,12.5,Bad & Declining,664
168,Birbhum,West Bengal,47.92,Moderate,37.0,78.2,41.8,90.3,81.6,78.4,10.440000000000005,Bad & Declining,633
169,Balrampur,Chhattisgarh,47.89,Moderate,35.1,63.2,38.8,78.9,76.1,52.1,7.700000000000003,Bad & Declining,595
170,Siddharthnagar,Uttar Pradesh,47.71,Moderate,37.2,51.4,36.3,69.7,65.1,60.9,2.4399999999999977,Bad & Declining,462
171,Gumla,Jharkhand,47.58,Moderate,40.2,59.9,38.7,83.8,85.3,49.3,-6.439999999999998,Bad but Improving,110
172,Sagar,Madhya Pradesh,47.57,Moderate,42.7,49.5,35.8,86.9,75.9,35.9,6.140000000000001,Bad & Declining,553
172,Dindori,Madhya Pradesh,47.57,Moderate,38.9,65.0,33.6,77.6,80.3,56.5,6.140000000000001,Bad & Declining,553
174,Shahdol,Madhya Pradesh,47.55,Moderate,44.0,56.4,39.2,85.6,86.1,57.4,6.119999999999997,Bad & Declining,551
175,Jyotiba Phule Nagar,Uttar Pradesh,47.5,Moderate,42.2,47.9,35.4,81.1,72.9,43.9,2.229999999999997,Bad & Declining,458
176,Hojai,Assam,47.48,Moderate,39.3,56.6,28.4,82.1,55.5,51.3,0.0,Bad & Declining,344
177,East Garo Hills,Meghalaya,47.45,Moderate,39.7,52.1,26.5,73.8,72.4,25.5,-3.059999999999995,Bad but Improving,208
178,Malkangiri,Odisha,47.4,Moderate,44.3,71.8,41.6,90.7,94.8,82.8,11.005000000000003,Bad & Declining,648
179,Hazaribagh,Jharkhand,47.31,Moderate,37.8,56.2,32.5,82.0,70.1,36.4,-6.709999999999994,Bad but Improving,101
180,Gandhinagar,Gujarat,47.22,Moderate,38.1,69.2,44.6,97.8,77.7,71.0,2.5899999999999963,Bad & Declining,466
181,Hamirpur,Uttar Pradesh,47.0,Moderate,48.0,46.4,36.3,96.3,77.1,43.2,1.7299999999999969,Bad & Declining,441
182,Kendujhar,Odisha,46.9,Moderate,36.2,69.0,37.1,80.4,86.0,57.1,10.505000000000003,Bad & Declining,634
